category,file,occurrences
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/block/BlockAdvancedLootChest.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/block/BlockDecorativeFlag.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/block/BlockGateProxy.java,2
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/block/BlockProtectionFlag.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/block/BlockSoundBlock.java,7
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/block/BlockStoneCoffin.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/block/BlockWoodenCoffin.java,1
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/structure/init/AWStructureBlocks.java,1
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/structure/init/AWStructureItems.java,1
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/structure/init/AWStructureSounds.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/proxy/ClientProxyStructure.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/render/ParticleOnlyModel.java,3
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/render/ProtectionFlagRenderer.java,4
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/render/RenderItemAdvancedLootChest.java,3
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/render/SoundBlockRenderer.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/render/StoneCoffinRenderer.java,3
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/structure/render/WoodenCoffinRenderer.java,3
Forge 1.12 lifecycle,src/main/java/net/shadowmage/ancientwarfare/vehicle/AncientWarfareVehicles.java,2
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/vehicle/AncientWarfareVehicles.java,3
Forge 1.12 proxy,src/main/java/net/shadowmage/ancientwarfare/vehicle/AncientWarfareVehicles.java,1
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/vehicle/config/AWVehicleStatics.java,1
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/vehicle/init/AWVehicleItems.java,1
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/vehicle/init/AWVehicleSounds.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/vehicle/input/VehicleInputHandler.java,1
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/vehicle/registry/SmeltingRecipeRegistry.java,1
