module,category,file,first_line,matched_patterns
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWindmillBlade.java,3,codechicken\.lib
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWindmillGenerator.java,55,ModelLoader\.setCustom
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWindmillGenerator.java,3,codechicken\.lib
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWorksiteBase.java,3,net\.minecraft\.block\. | BlockStateContainer | createBlockState\( | getMetaFromState\(
automation,commands,src/main/java/net/shadowmage/ancientwarfare/automation/command/CommandWarehouse.java,3,ICommandSender | CommandBase
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerStirlingGenerator.java,7,net\.minecraft\.tileentity\.
automation,capability/item-handler,src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseCraftingStation.java,16,CombinedInvWrapper | InvWrapper
automation,capability/item-handler,src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteAutoCrafting.java,13,CombinedInvWrapper | InvWrapper
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiChunkLoaderDeluxe.java,6,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiMailboxInventory.java,6,GuiContainer | GuiScreen
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiMailboxInventorySideSetup.java,9,GuiContainer | GuiScreen
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiMailboxNameSelect.java,5,GuiContainer | GuiScreen
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiStirlingGenerator.java,6,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWarehouseControl.java,9,GuiContainer | openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWarehouseCraftingStation.java,5,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWarehouseInterface.java,7,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWarehouseStockLinker.java,7,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWarehouseStockViewer.java,7,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWarehouseStorage.java,8,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWorksiteAnimalControl.java,5,GuiContainer | openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWorksiteAutoCrafting.java,5,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWorksiteBase.java,6,GuiContainer | openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWorksiteBoundsAdjust.java,7,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWorksiteFishControl.java,5,GuiContainer | openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWorksiteInventorySideSelection.java,9,GuiContainer
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWorksiteQuarry.java,17,openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWorksiteQuarryBounds.java,5,GuiContainer | openGui\(
automation,registry,src/main/java/net/shadowmage/ancientwarfare/automation/init/AWAutomationBlocks.java,8,RegistryEvent | GameRegistry | ObjectHolder
automation,registry,src/main/java/net/shadowmage/ancientwarfare/automation/init/AWAutomationItems.java,4,RegistryEvent | GameRegistry | ObjectHolder
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/proxy/ClientProxyAutomation.java,101,TileEntitySpecialRenderer
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/registry/FruitFarmRegistry.java,6,net\.minecraft\.block\.
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/registry/TreeFarmRegistry.java,6,net\.minecraft\.block\.
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/AnimatedBlockRenderer.java,3,codechicken\.lib
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/render/BaseAnimationRenderer.java,5,BufferBuilder
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/BaseAnimationRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/BaseTorqueRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/FlywheelControllerRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/FlywheelStorageRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/HandCrankedGeneratorRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/ITESRRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/StirlingGeneratorRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueDistributorRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueJunctionRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueShaftRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueTieredRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueTransportSidedRenderer.java,3,codechicken\.lib
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/render/WarehouseStockLinkerRenderer.java,6,TileEntitySpecialRenderer
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/render/WarehouseStockLinkerRenderer.java,5,GlStateManager
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/render/WarehouseStockViewerRenderer.java,6,TileEntitySpecialRenderer
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/render/WarehouseStockViewerRenderer.java,5,GlStateManager
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/WaterwheelGeneratorRenderer.java,3,codechicken\.lib
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/render/WindmillBladeRenderer.java,26,TRSRTransformation
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/WindmillBladeRenderer.java,3,codechicken\.lib
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/render/WindmillGeneratorRenderer.java,3,codechicken\.lib
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/render/WorksiteRenderer.java,4,TileEntitySpecialRenderer
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/render/WorksiteRenderer.java,3,GlStateManager
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/TileChunkLoaderDeluxe.java,33,openGui\(
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/tile/TileMailbox.java,8,ITickable
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/torque/TileStirlingGenerator.java,59,openGui\(
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/tile/torque/TileStirlingGenerator.java,7,net\.minecraft\.tileentity\.
