file,line,import
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockMailbox.java,8,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockMailbox.java,10,net.minecraft.world.InteractionHand
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockMailbox.java,12,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockOreProcessor.java,3,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockOreProcessor.java,4,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockOreProcessor.java,7,net.minecraft.world.level.BlockGetter
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockOreProcessor.java,8,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockStirlingGenerator.java,7,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockStirlingGenerator.java,11,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockStirlingGenerator.java,13,net.minecraft.world.level.BlockGetter
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockStirlingGenerator.java,14,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,4,net.minecraft.world.level.block.Block
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,5,net.minecraft.block.material.Material
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,6,net.minecraft.block.state.BlockStateContainer
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,7,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,8,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,10,net.minecraft.world.InteractionHand
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,12,net.minecraft.world.level.BlockGetter
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,13,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueDistributor.java,8,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueDistributor.java,12,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueDistributor.java,14,net.minecraft.world.level.BlockGetter
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueDistributor.java,15,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueGenerator.java,3,net.minecraft.block.material.Material
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueJunction.java,8,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueJunction.java,12,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueJunction.java,14,net.minecraft.world.level.BlockGetter
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueJunction.java,15,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,3,net.minecraft.block.material.Material
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,4,net.minecraft.block.state.BlockStateContainer
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,5,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,7,net.minecraft.world.entity.LivingEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,8,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,10,net.minecraft.world.InteractionHand
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,12,net.minecraft.world.phys.AABB
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,14,net.minecraft.world.level.BlockGetter
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,15,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportShaft.java,8,net.minecraft.world.level.block.state.properties.BooleanProperty
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportShaft.java,9,net.minecraft.block.state.BlockStateContainer
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportShaft.java,10,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportShaft.java,14,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportShaft.java,16,net.minecraft.world.phys.AABB
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportShaft.java,18,net.minecraft.world.level.BlockGetter
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportShaft.java,19,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportSided.java,3,net.minecraft.world.level.block.state.properties.BooleanProperty
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportSided.java,4,net.minecraft.block.state.BlockStateContainer
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWarehouseCraftingStation.java,3,net.minecraft.block.material.Material
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWarehouseCraftingStation.java,4,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWarehouseCraftingStation.java,5,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWarehouseCraftingStation.java,6,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWarehouseCraftingStation.java,8,net.minecraft.world.InteractionHand
