file,replacement_count,details
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockMailbox.java,34,call:.isRemote->.isClientSide=2; import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.entity.EntityLivingBase->net.minecraft.world.entity.LivingEntity=1; import:net.minecraft.entity.player.EntityPlayer->net.minecraft.world.entity.player.Player=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; import:net.minecraft.util.EnumHand->net.minecraft.world.InteractionHand=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:EntityLivingBase->LivingEntity=1; type:EntityPlayer->Player=1; type:EnumFacing->Direction=5; type:EnumHand->InteractionHand=1; type:IBlockState->BlockState=7; type:Side->Dist=1; type:SideOnly->OnlyIn=1; type:TileEntity->BlockEntity=1; type:World->Level=4
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockOreProcessor.java,18,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:EnumFacing->Direction=1; type:IBlockAccess->BlockGetter=1; type:IBlockState->BlockState=4; type:Side->Dist=1; type:SideOnly->OnlyIn=1; type:TileEntity->BlockEntity=1; type:World->Level=1
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockStirlingGenerator.java,25,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.client.renderer.texture.TextureAtlasSprite->net.minecraft.client.renderer.texture.TextureAtlasSprite=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:IBlockAccess->BlockGetter=1; type:IBlockState->BlockState=4; type:Side->Dist=5; type:SideOnly->OnlyIn=5; type:TileEntity->BlockEntity=1; type:World->Level=1
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,47,call:.isRemote->.isClientSide=1; import:net.minecraft.block.Block->net.minecraft.world.level.block.Block=1; import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.entity.player.EntityPlayer->net.minecraft.world.entity.player.Player=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; import:net.minecraft.util.EnumHand->net.minecraft.world.InteractionHand=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:EntityPlayer->Player=1; type:EnumFacing->Direction=9; type:EnumHand->InteractionHand=1; type:IBlockAccess->BlockGetter=4; type:IBlockState->BlockState=13; type:Side->Dist=2; type:SideOnly->OnlyIn=2; type:World->Level=4
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueDistributor.java,29,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.client.renderer.texture.TextureAtlasSprite->net.minecraft.client.renderer.texture.TextureAtlasSprite=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:IBlockAccess->BlockGetter=1; type:IBlockState->BlockState=4; type:Side->Dist=7; type:SideOnly->OnlyIn=7; type:TileEntity->BlockEntity=1; type:World->Level=1
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueJunction.java,29,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.client.renderer.texture.TextureAtlasSprite->net.minecraft.client.renderer.texture.TextureAtlasSprite=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:IBlockAccess->BlockGetter=1; type:IBlockState->BlockState=4; type:Side->Dist=7; type:SideOnly->OnlyIn=7; type:TileEntity->BlockEntity=1; type:World->Level=1
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransport.java,21,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.entity.EntityLivingBase->net.minecraft.world.entity.LivingEntity=1; import:net.minecraft.item.ItemStack->net.minecraft.world.item.ItemStack=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; import:net.minecraft.util.EnumHand->net.minecraft.world.InteractionHand=1; import:net.minecraft.util.NonNullList->net.minecraft.core.NonNullList=1; import:net.minecraft.util.math.AxisAlignedBB->net.minecraft.world.phys.AABB=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; type:AxisAlignedBB->AABB=2; type:EntityLivingBase->LivingEntity=1; type:EnumFacing->Direction=1; type:EnumHand->InteractionHand=1; type:IBlockAccess->BlockGetter=1; type:IBlockState->BlockState=4; type:World->Level=1
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportShaft.java,39,import:net.minecraft.block.properties.PropertyBool->net.minecraft.world.level.block.state.properties.BooleanProperty=1; import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.client.renderer.texture.TextureAtlasSprite->net.minecraft.client.renderer.texture.TextureAtlasSprite=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; import:net.minecraft.util.math.AxisAlignedBB->net.minecraft.world.phys.AABB=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:AxisAlignedBB->AABB=2; type:EnumFacing->Direction=1; type:IBlockAccess->BlockGetter=2; type:IBlockState->BlockState=5; type:PropertyBool->BooleanProperty=2; type:Side->Dist=7; type:SideOnly->OnlyIn=7; type:TileEntity->BlockEntity=1; type:World->Level=1
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportSided.java,5,import:net.minecraft.block.properties.PropertyBool->net.minecraft.world.level.block.state.properties.BooleanProperty=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; type:EnumFacing->Direction=2; type:PropertyBool->BooleanProperty=1
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWarehouseCraftingStation.java,20,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.entity.player.EntityPlayer->net.minecraft.world.entity.player.Player=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; import:net.minecraft.util.EnumHand->net.minecraft.world.InteractionHand=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:EntityPlayer->Player=1; type:EnumFacing->Direction=1; type:EnumHand->InteractionHand=1; type:IBlockState->BlockState=3; type:Side->Dist=1; type:SideOnly->OnlyIn=1; type:TileEntity->BlockEntity=1; type:World->Level=2
